time,Open,Close,Low,High,volume,complete
2018-01-01 22:00:00+00:00,67.033,66.829,66.578,67.638,41439,True
2018-01-02 22:00:00+00:00,66.827,68.320,66.739,68.360,40978,True
2018-01-03 22:00:00+00:00,68.315,68.303,67.955,68.606,42294,True
2018-01-04 22:00:00+00:00,68.305,68.037,67.587,68.434,39083,True
2018-01-07 22:00:00+00:00,68.040,68.175,67.719,68.260,34663,True
2018-01-08 22:00:00+00:00,68.172,69.470,67.973,69.503,48971,True
2018-01-09 22:00:00+00:00,69.470,69.378,69.012,69.623,47726,True
2018-01-10 22:00:00+00:00,69.374,69.383,69.245,70.279,57685,True
2018-01-11 22:00:00+00:00,69.381,70.036,68.844,70.155,52365,True
2018-01-14 22:00:00+00:00,69.902,70.435,69.757,70.560,28252,True
2018-01-15 22:00:00+00:00,70.435,69.510,69.023,70.435,57250,True
2018-01-16 22:00:00+00:00,69.510,69.609,68.730,69.759,50068,True
2018-01-17 22:00:00+00:00,69.609,69.293,68.965,69.796,47990,True
2018-01-18 22:00:00+00:00,69.291,68.903,68.433,69.324,52561,True
2018-01-21 22:00:00+00:00,68.885,69.442,68.501,69.618,44341,True
2018-01-22 22:00:00+00:00,69.434,70.004,69.218,70.335,49085,True
2018-01-23 22:00:00+00:00,70.006,70.738,69.611,70.933,66507,True
2018-01-24 22:00:00+00:00,70.740,70.175,70.032,71.270,59881,True
2018-01-25 22:00:00+00:00,70.172,70.571,70.058,70.917,53247,True
2018-01-28 22:00:00+00:00,70.556,69.587,69.188,70.631,50932,True
2018-01-29 22:00:00+00:00,69.590,68.457,68.406,69.647,54654,True
2018-01-30 22:00:00+00:00,68.459,69.282,68.233,69.389,53871,True
2018-01-31 22:00:00+00:00,69.280,70.101,69.201,70.350,48913,True
2018-02-01 22:00:00+00:00,70.101,68.611,68.328,70.396,62549,True
2018-02-04 22:00:00+00:00,68.265,67.316,67.316,68.779,76849,True
2018-02-05 22:00:00+00:00,67.316,67.564,66.838,67.902,89017,True
2018-02-06 22:00:00+00:00,67.564,65.732,65.435,68.013,94501,True
2018-02-07 22:00:00+00:00,65.732,64.501,64.371,65.873,91351,True
2018-02-08 22:00:00+00:00,64.499,62.859,62.005,64.901,121153,True
2018-02-11 22:00:00+00:00,63.379,62.909,62.770,64.619,92834,True
2018-02-12 22:00:00+00:00,62.912,62.753,61.956,63.298,77478,True
2018-02-13 22:00:00+00:00,62.758,64.581,62.145,64.750,89088,True
2018-02-14 22:00:00+00:00,64.581,64.661,63.285,65.326,93254,True
2018-02-15 22:00:00+00:00,64.658,65.041,64.346,65.377,77831,True
2018-02-18 22:00:00+00:00,65.469,65.658,65.141,66.018,31805,True
2018-02-19 22:00:00+00:00,65.658,65.176,64.894,65.925,76073,True
2018-02-20 22:00:00+00:00,65.178,65.221,64.504,65.629,74047,True
2018-02-21 22:00:00+00:00,65.223,66.317,64.719,66.641,75230,True
2018-02-22 22:00:00+00:00,66.315,67.395,65.910,67.452,60609,True
2018-02-25 22:00:00+00:00,67.214,67.657,66.813,67.983,59457,True
2018-02-26 22:00:00+00:00,67.657,66.702,66.527,67.743,66745,True
2018-02-27 22:00:00+00:00,66.707,64.942,64.792,67.095,84350,True
2018-02-28 22:00:00+00:00,64.940,64.476,63.459,65.307,121129,True
2018-03-01 22:00:00+00:00,64.478,64.823,63.472,64.901,86501,True
2018-03-04 22:00:00+00:00,64.980,65.823,64.336,66.121,76232,True
2018-03-05 22:00:00+00:00,65.820,65.813,65.542,66.394,81730,True
2018-03-06 22:00:00+00:00,65.811,64.750,64.054,66.009,100600,True
2018-03-07 22:00:00+00:00,64.747,64.081,63.635,64.807,77068,True
2018-03-08 22:00:00+00:00,64.081,65.807,63.900,65.825,70741,True
2018-03-11 21:00:00+00:00,65.831,65.149,64.361,66.019,66315,True
