time,Open,Close,Low,High,volume,complete
2018-01-01 22:00:00+00:00,6058.0,6069.7,6028.6,6074.8,10583,True
2018-01-02 22:00:00+00:00,6062.2,6095.2,6056.0,6095.5,8460,True
2018-01-03 22:00:00+00:00,6098.6,6101.5,6063.6,6105.5,10524,True
2018-01-04 22:00:00+00:00,6103.2,6131.5,6094.8,6134.5,8741,True
2018-01-07 22:00:00+00:00,6137.2,6127.5,6112.5,6143.0,9010,True
2018-01-08 22:00:00+00:00,6134.8,6146.8,6125.6,6153.5,8129,True
2018-01-09 22:00:00+00:00,6148.8,6069.5,6059.5,6151.6,13789,True
2018-01-10 22:00:00+00:00,6079.7,6057.5,6041.0,6086.5,10748,True
2018-01-11 22:00:00+00:00,6071.7,6081.5,6053.5,6087.5,10588,True
2018-01-14 22:00:00+00:00,6096.9,6053.8,6044.5,6099.0,9318,True
2018-01-15 22:00:00+00:00,6059.5,5994.8,5985.5,6067.5,12122,True
2018-01-16 22:00:00+00:00,6002.7,6014.5,5977.5,6018.0,13679,True
2018-01-17 22:00:00+00:00,6012.0,6009.5,5989.5,6024.0,13317,True
2018-01-18 22:00:00+00:00,6008.7,6013.5,5986.5,6016.5,11096,True
2018-01-21 22:00:00+00:00,6012.0,6004.5,5973.5,6012.5,8368,True
2018-01-22 22:00:00+00:00,6006.0,6043.5,5998.5,6045.5,8574,True
2018-01-23 22:00:00+00:00,6034.5,6030.5,6002.5,6051.5,10434,True
2018-01-24 22:00:00+00:00,6026.0,6024.5,6012.5,6047.5,12242,True
2018-01-25 22:00:00+00:00,6030.5,6050.2,6023.3,6053.0,4635,True
2018-01-28 22:00:00+00:00,6056.0,6037.8,6025.8,6073.5,15540,True
2018-01-29 22:00:00+00:00,6021.0,5981.7,5970.5,6042.5,24755,True
2018-01-30 22:00:00+00:00,5963.5,6015.8,5963.5,6041.5,18572,True
2018-01-31 22:00:00+00:00,6023.0,6063.2,6023.0,6083.5,20536,True
2018-02-01 22:00:00+00:00,6063.8,6047.3,6045.5,6111.2,27220,True
2018-02-04 22:00:00+00:00,6033.5,5917.2,5913.5,6037.5,39591,True
2018-02-05 22:00:00+00:00,5829.5,5892.7,5769.5,5893.2,95161,True
2018-02-06 22:00:00+00:00,5874.1,5842.2,5802.5,5916.5,46112,True
2018-02-07 22:00:00+00:00,5838.3,5773.5,5756.5,5870.5,56934,True
2018-02-08 22:00:00+00:00,5734.3,5719.2,5645.5,5822.5,61348,True
2018-02-11 22:00:00+00:00,5779.0,5814.0,5752.8,5824.2,27484,True
2018-02-12 22:00:00+00:00,5807.0,5847.3,5787.5,5851.7,30343,True
2018-02-13 22:00:00+00:00,5832.0,5870.8,5780.8,5876.2,37834,True
2018-02-14 22:00:00+00:00,5872.0,5913.2,5858.5,5924.5,28886,True
2018-02-15 22:00:00+00:00,5916.0,5883.5,5868.5,5922.5,26456,True
2018-02-18 22:00:00+00:00,5890.5,5897.2,5872.5,5939.5,13079,True
2018-02-19 22:00:00+00:00,5902.5,5903.7,5893.8,5933.5,26276,True
2018-02-20 22:00:00+00:00,5898.5,5975.2,5898.5,5994.5,21995,True
2018-02-21 22:00:00+00:00,5945.5,5972.8,5915.5,6008.5,31623,True
2018-02-22 22:00:00+00:00,5984.5,6016.2,5958.5,6018.5,27305,True
2018-02-25 22:00:00+00:00,6022.5,6065.2,6015.5,6069.5,18861,True
2018-02-26 22:00:00+00:00,6073.0,6035.8,6025.5,6081.5,25155,True
2018-02-27 22:00:00+00:00,6028.0,5992.3,5991.3,6046.0,25868,True
2018-02-28 22:00:00+00:00,5980.5,5921.3,5903.5,6002.5,51888,True
2018-03-01 22:00:00+00:00,5937.8,5919.1,5880.8,5947.8,43492,True
2018-03-04 22:00:00+00:00,5937.8,5960.1,5878.8,5966.8,32914,True
2018-03-05 22:00:00+00:00,5950.7,5971.4,5948.2,6002.2,29453,True
2018-03-06 22:00:00+00:00,5930.2,5919.7,5891.5,5937.2,33559,True
2018-03-07 22:00:00+00:00,5923.5,5952.8,5923.5,5963.5,26937,True
2018-03-08 22:00:00+00:00,5963.8,6016.3,5950.3,6019.3,23911,True
2018-03-11 21:00:00+00:00,6033.6,6002.0,5988.6,6035.3,25254,True
2018-03-12 21:00:00+00:00,5989.1,5932.8,5923.1,5992.1,33312,True
2018-03-13 21:00:00+00:00,5938.4,5927.8,5920.5,5960.0,26900,True
2018-03-14 21:00:00+00:00,5937.2,5934.7,5902.5,5945.5,23541,True
2018-03-15 21:00:00+00:00,5932.0,5982.2,5919.0,5987.7,19051,True
2018-03-18 21:00:00+00:00,5989.5,5933.0,5901.0,5989.5,27211,True
2018-03-19 21:00:00+00:00,5934.3,5945.7,5913.9,5954.9,19171,True
2018-03-20 21:00:00+00:00,5938.6,5935.0,5923.1,5963.8,20043,True
2018-03-21 21:00:00+00:00,5938.0,5840.0,5831.0,5955.7,41584,True
2018-03-22 21:00:00+00:00,5830.7,5755.7,5754.7,5850.7,60435,True
2018-03-25 21:00:00+00:00,5749.4,5819.5,5749.0,5825.7,51088,True
2018-03-26 21:00:00+00:00,5814.5,5769.8,5751.5,5844.5,51152,True
2018-03-27 21:00:00+00:00,5776.5,5781.1,5763.3,5813.3,81717,True
2018-03-28 21:00:00+00:00,5793.0,5755.1,5736.6,5796.3,21776,True
2018-04-02 21:00:00+00:00,5702.6,5751.3,5694.3,5763.3,57675,True
2018-04-03 21:00:00+00:00,5736.8,5770.1,5687.3,5777.3,59135,True
2018-04-04 21:00:00+00:00,5768.5,5798.3,5755.3,5807.3,42107,True
2018-04-05 21:00:00+00:00,5755.0,5745.4,5732.1,5806.1,61391,True
2018-04-08 21:00:00+00:00,5762.8,5802.1,5755.1,5829.1,37944,True
2018-04-09 21:00:00+00:00,5788.6,5846.9,5772.1,5849.1,55846,True
2018-04-10 21:00:00+00:00,5841.3,5804.9,5788.6,5845.1,42612,True
2018-04-11 21:00:00+00:00,5805.4,5822.4,5783.6,5828.8,35234,True
2018-04-12 21:00:00+00:00,5816.8,5816.8,5799.4,5844.1,30041,True
2018-04-15 21:00:00+00:00,5839.6,5828.3,5817.1,5857.1,28226,True
2018-04-16 21:00:00+00:00,5827.6,5849.1,5819.1,5861.1,21382,True
2018-04-17 21:00:00+00:00,5852.6,5869.8,5838.1,5875.8,19806,True
2018-04-18 21:00:00+00:00,5879.9,5858.1,5841.9,5894.1,26323,True
2018-04-19 21:00:00+00:00,5854.8,5841.8,5832.1,5876.6,26035,True
2018-04-22 21:00:00+00:00,5847.3,5882.9,5846.1,5894.1,26870,True
2018-04-23 21:00:00+00:00,5889.6,5877.9,5867.1,5938.5,41229,True
2018-04-24 21:00:00+00:00,5872.4,5914.9,5870.4,5915.8,23118,True
2018-04-25 21:00:00+00:00,5915.9,5946.9,5890.1,5949.3,29391,True
2018-04-26 21:00:00+00:00,5939.6,5950.8,5913.6,5959.1,22770,True
2018-04-29 21:00:00+00:00,5946.9,5955.6,5944.9,5983.1,19248,True
2018-04-30 21:00:00+00:00,5962.1,6006.4,5961.1,6013.1,19706,True
2018-05-01 21:00:00+00:00,6011.1,6056.4,6004.1,6081.8,30342,True
2018-05-02 21:00:00+00:00,6066.4,6101.3,6045.4,6102.1,35796,True
2018-05-03 21:00:00+00:00,6092.9,6100.7,6042.2,6105.9,25578,True
2018-05-06 21:00:00+00:00,6103.2,6089.6,6066.2,6104.1,21006,True
2018-05-07 21:00:00+00:00,6093.4,6093.7,6074.9,6099.9,26400,True
2018-05-08 21:00:00+00:00,6088.0,6119.8,6077.5,6121.5,19798,True
2018-05-09 21:00:00+00:00,6130.2,6116.4,6097.7,6134.5,19069,True
2018-05-10 21:00:00+00:00,6112.6,6108.8,6094.1,6125.1,17888,True
2018-05-13 21:00:00+00:00,6120.7,6125.5,6108.7,6138.7,16618,True
2018-05-14 21:00:00+00:00,6135.3,6096.5,6087.8,6137.8,23221,True
2018-05-15 21:00:00+00:00,6100.4,6111.9,6094.9,6131.9,16083,True
2018-05-16 21:00:00+00:00,6126.6,6119.3,6088.1,6129.9,18225,True
2018-05-17 21:00:00+00:00,6128.8,6067.4,6067.4,6135.1,19547,True
2018-05-20 21:00:00+00:00,6089.4,6082.1,6079.1,6104.6,11790,True
2018-05-21 21:00:00+00:00,6083.6,6042.8,6034.1,6089.1,14117,True
2018-05-22 21:00:00+00:00,6048.5,6023.2,6002.3,6064.0,20154,True
2018-05-23 21:00:00+00:00,6024.8,6013.8,5988.0,6056.0,18209,True
2018-05-24 21:00:00+00:00,6029.2,6011.8,5997.8,6043.3,17879,True
2018-05-27 21:00:00+00:00,6027.8,6005.8,5988.8,6029.8,6539,True
2018-05-28 21:00:00+00:00,6013.8,5967.3,5946.8,6030.8,25943,True
2018-05-29 21:00:00+00:00,5968.3,6035.3,5960.8,6037.8,20339,True
2018-05-30 21:00:00+00:00,6025.2,6007.5,5994.7,6037.7,25407,True
2018-05-31 21:00:00+00:00,6009.7,6031.0,5973.7,6032.7,16121,True
2018-06-03 21:00:00+00:00,6027.5,6005.0,5993.7,6043.7,8851,True
2018-06-04 21:00:00+00:00,6010.2,6016.7,5983.7,6027.7,14707,True
2018-06-05 21:00:00+00:00,6012.1,6053.6,6005.6,6054.6,13617,True
2018-06-06 21:00:00+00:00,6042.8,6051.4,6028.6,6077.1,20873,True
2018-06-07 21:00:00+00:00,6057.4,6061.3,6039.1,6067.1,19343,True
2018-06-10 21:00:00+00:00,6067.8,6076.8,6054.6,6086.6,4954,True
2018-06-11 21:00:00+00:00,6077.4,6049.8,6033.6,6077.4,15150,True
2018-06-12 21:00:00+00:00,6053.1,6022.6,6011.1,6063.6,15982,True
2018-06-13 21:00:00+00:00,6022.3,6058.8,6004.6,6070.6,13751,True
